"date","state","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-01-15","ND",1395,,23,,3699,3699,88,10,539,10,291220,467,,,,,,95599,91837,221,0,,,,,,92551,1298741,4640,1298741,4640,,67850,,,386819,688,1374945,5442
"2021-01-15","NE",1818,,15,,5539,5539,465,19,,,700507,899,,,1686804,,,180131,,932,0,,,,,205736,124233,,0,1894614,7460,,,,,881078,1836,1894614,7460
"2021-01-15","NH",908,,11,,953,953,255,9,310,,518186,3363,,,,,,55500,40391,722,0,,,,,,48018,,0,1130805,8568,36863,98779,35519,,558577,3888,1130805,8568
"2021-01-15","NJ",20320,18229,67,2091,54180,54180,3543,176,,626,8060712,136196,,,,,438,616090,555299,6369,0,,,,,,,,0,8676802,142565,,,,,,0,8616011,141655
"2021-01-15","NM",2874,,38,,11005,11005,670,58,,,,0,,,,,,161805,,1262,0,,,,,,84015,,0,2127494,-13068,,,,,,0,2127494,-13068
"2021-01-15","NV",3698,,40,,,,1676,0,,418,1009350,3931,,,,,287,258050,258050,1878,0,,,,,,,2304127,14971,2304127,14971,,,,,1267400,5809,,0
"2021-01-15","NY",32566,,187,,,,8808,0,,1570,,0,,,,,962,1203550,,19942,0,,,,,,,28455705,324671,28455705,324671,,,,,,0,,0
"2021-01-15","OH",10057,9030,67,1027,42807,42807,3793,316,6328,945,,0,,,,,646,814442,719642,7149,0,,58673,,,745149,669448,,0,8368521,63540,,1050019,,,,0,8368521,63540
"2021-01-15","OK",2925,,43,,19616,19616,1847,156,,470,2589408,25547,,,2589408,,,348044,,3538,0,9516,,,,331450,306874,,0,2937452,29085,109422,,,,,0,2928413,29952
"2021-01-15","OR",1737,,29,,7173,7173,444,50,,108,,0,,,2721652,,58,130246,,1137,0,,,,,174028,,,0,2895680,21108,,,,,,0,2895680,21108
"2021-01-15","PA",18957,,215,,,,4848,0,,1010,3440494,12519,,,,,604,754611,666521,6047,0,,,,,,573504,8368848,61226,8368848,61226,,,,,4107015,17340,,0
"2021-01-15","PR",1692,1410,13,282,,,382,0,,50,305972,0,,,395291,,60,85954,80111,1138,0,61016,,,,20103,73760,,0,391926,1138,,,,,,0,415664,0
"2021-01-15","RI",2005,,9,,7432,7432,384,66,,51,588709,3519,,,2117548,,35,104443,,1057,0,,,,,124747,,2242295,22490,2242295,22490,,,,,693152,4576,,0
"2021-01-15","SC",6037,5513,103,524,16135,16135,2424,195,,473,3233785,28845,93597,,3138359,,289,375967,341597,4787,0,18678,67442,,,437023,171539,,0,3609752,33632,112275,521315,,,,0,3575382,32597
"2021-01-15","SD",1629,,15,,6023,6023,227,25,,53,284571,911,,,,,40,104937,94113,425,0,,,,,99600,98576,,0,625111,2513,,,,,389508,1336,625111,2513
"2021-01-15","TN",8311,6970,79,1341,15873,15873,3034,120,,755,,0,,,5302944,,402,676039,580743,5557,0,,103634,,,669429,602938,,0,5972373,32918,,767817,,,,0,5972373,32918
"2021-01-15","TX",31450,,400,,,,13953,0,,3663,,0,,,,,,2072903,1816535,27204,0,106216,132681,,,2037868,1649735,,0,15443899,139440,858535,1443336,,,,0,15443899,139440
"2021-01-15","UT",1472,,12,,12351,12351,635,102,1967,210,1372156,5377,,,2133909,677,,320102,,2543,0,,42752,,41028,302396,263256,,0,2436305,14503,,571424,,233747,1650854,7141,2436305,14503
"2021-01-15","VA",5656,4982,30,674,19741,19741,3147,146,,580,,0,,,,,362,422634,346917,4795,0,19422,79389,,,432556,,4730680,23966,4730680,23966,196733,836380,,,,0,,0
"2021-01-15","VI",24,,0,,,,,0,,,35759,0,,,,,,2166,,0,0,,,,,,2008,,0,37925,0,,,,,38019,0,,0
"2021-01-15","VT",163,,1,,,,45,0,,6,274734,1542,,,,,,9734,9481,161,0,,,,,,6506,,0,788759,9581,,,,,284215,1698,788759,9581
"2021-01-15","WA",3876,,38,,16080,16080,1105,0,,202,,0,,,,,93,283777,271643,2575,0,,,,,,,4153214,24797,4153214,24797,,,,,,0,,0
"2021-01-15","WI",5770,5322,42,448,22923,22923,998,119,2117,229,2427631,5771,,,,,,563866,518251,2706,0,,,,,,485157,5745570,29446,5745570,29446,,,,,2945882,8040,,0
"2021-01-15","WV",1733,1488,31,245,,,717,0,,195,,0,,,,,102,106649,85713,1430,0,,,,,,77900,,0,1709911,21808,28144,,,,,0,1709911,21808
"2021-01-15","WY",522,,0,,1211,1211,89,4,,,164801,2173,,,507680,,,48909,41773,208,0,,,,,42087,46502,,0,549805,7489,,,,,206574,2318,549805,7489
"2021-01-14","AK",228,,2,,1149,1149,81,11,,,,0,,,1321433,,10,49535,,332,0,,,,,59332,,,0,1382276,11441,,,,,,0,1382276,11441
"2021-01-14","AL",5945,4977,185,968,38450,38450,2850,221,2470,,1669962,7366,,,,1412,,414583,329731,3588,0,,,,,,221961,,0,1999693,9969,,,94965,,1999693,9969,,0
"2021-01-14","AR",4228,3495,42,733,12503,12503,1295,89,,426,2019645,12685,,,2019645,1329,241,264511,214199,2491,0,,,,59307,,235513,,0,2233844,14420,,,,302836,,0,2233844,14420
"2021-01-14","AS",0,,0,,,,,0,,,2140,0,,,,,,0,0,0,0,,,,,,,,0,2140,0,,,,,,0,2140,0
"2021-01-14","AZ",10855,9778,182,1077,45260,45260,4930,397,,1167,2539745,14858,,,,,821,649040,613302,7311,0,,,,,,,,0,5854089,65768,511180,,401958,,3153047,21312,5854089,65768
"2021-01-14","CA",31654,,552,,,,22210,0,,4878,,0,,,,,,2816969,2816969,35930,0,,,,,,,,0,37130366,287715,,,,,,0,37130366,287715
"2021-01-14","CO",5316,4632,31,684,20526,20526,903,94,,,1918454,6227,270876,,,,,369177,352308,2403,0,36847,,,,,,4895837,38882,4895837,38882,311496,,,,2270762,8390,,0
"2021-01-14","CT",6553,5319,17,1234,,,1118,0,,,,0,,,4757850,,,221544,208489,968,0,,11908,,,259263,,,0,5024064,42449,,186871,,,,0,5024064,42449
"2021-01-14","DC",842,,11,,,,287,0,,74,,0,,,,,29,32820,,220,0,,,,,,22899,978833,5263,978833,5263,,,,,375237,1164,,0
"2021-01-14","DE",995,890,1,105,,,466,0,,56,478334,2154,,,,,,68065,65031,892,0,,,,,69690,,1089972,8527,1089972,8527,,,,,546399,3046,,0
"2021-01-14","FL",23981,,222,,68011,68011,7762,413,,,7887623,37435,578113,560932,13450244,,,1503529,1259047,13381,0,71851,,69600,,1956768,,17282796,134756,17282796,134756,650372,,630838,,9391152,50816,15476773,109483
"2021-01-14","GA",11975,10721,172,1254,45893,45893,5968,360,7869,,,0,,,,,,791324,660720,9036,0,51320,,,,624405,,,0,5801007,37033,419581,,,,,0,5801007,37033
"2021-01-14","GU",124,,0,,,,6,0,,3,92766,391,,,,,3,7457,7263,13,0,19,253,,,,7218,,0,100223,404,337,7058,,,,0,100029,404
"2021-01-14","HI",318,318,6,,1920,1920,104,7,,24,,0,,,,,19,24434,23908,175,0,,,,,23547,,888876,5983,888876,5983,,,,,,0,,0
"2021-01-14","IA",4251,,19,,,,532,0,,85,954425,2510,,80258,2055687,,35,254453,254453,1146,0,,50390,10623,47353,275473,262266,,0,1208878,3656,,980719,90921,200217,1211182,3684,2343078,11531
"2021-01-14","ID",1564,1378,8,186,6178,6178,338,50,1084,88,444163,2186,,,,,,152364,125036,1091,0,,,,,,68657,,0,569199,2974,,78973,,,569199,2974,909722,6361
"2021-01-14","IL",19724,17928,107,1796,,,3511,0,,742,,0,,,,,382,1052682,,6652,0,,,,,,,,0,14457620,118036,,,,,,0,14457620,118036
"2021-01-14","IN",9202,8830,39,372,37868,37868,2440,189,6610,550,2213797,7925,,,,,280,578494,,4375,0,,,,,656974,,,0,6271603,51516,,,,,2792291,12300,6271603,51516
"2021-01-14","KS",3355,,0,,7540,7540,892,0,2027,217,831891,0,,,,413,65,252041,,0,0,,,,,,,,0,1083932,0,,,,,1083932,0,,0
"2021-01-14","KY",3042,2813,51,229,15022,15022,1661,130,3312,548,,0,,,,,196,317345,252694,4063,0,7573,23084,,,206925,39998,,0,3378562,11707,104306,226614,,,,0,3378562,11707
"2021-01-14","LA",8080,7631,58,449,,,1975,0,,,4202801,30778,,,,,245,361148,320462,5313,0,,,,,,298614,,0,4563949,36091,,281939,,,,0,4523263,33904
"2021-01-14","MA",13433,13156,74,277,17109,17109,2226,0,,454,3854115,16498,,,,,294,454402,433297,5955,0,,,13369,,520263,324203,,0,12046398,101413,,,143396,415649,4287412,22043,12046398,101413
"2021-01-14","MD",6449,6277,45,172,29123,29123,1843,137,,425,2679345,11783,,158859,,,,317815,317815,2948,0,,,20915,,386395,9443,,0,6298178,43825,,,179774,,2997160,14731,6298178,43825
"2021-01-14","ME",461,456,8,5,1217,1217,193,16,,63,,0,13329,,,,23,31958,26334,808,0,619,5950,,,30465,11840,,0,1194873,8987,13960,111883,,,,0,1194873,8987
"2021-01-14","MI",14511,13672,175,839,,,2238,0,,499,,0,,,8138266,,258,576573,531004,3295,0,,,,,670672,415079,,0,8808938,48921,459952,,,,,0,8808938,48921
"2021-01-14","MN",5817,5606,43,211,23113,23113,645,95,4836,131,2688300,7021,,,,,,441935,424584,1581,0,,,,,,420919,5767323,33345,5767323,33345,,276479,,,3112884,8376,,0
"2021-01-14","MO",6201,,30,,,,2614,0,,588,1706567,4738,106287,,3396908,,332,431957,431957,2780,0,16113,56849,,,477311,,,0,3882097,23074,122638,480010,113252,213236,2138524,7518,3882097,23074
"2021-01-14","MP",2,2,0,,4,4,,0,,,17429,0,,,,,,128,128,0,0,,,,,,29,,0,17557,0,,,,,17542,0,26131,0
"2021-01-14","MS",5356,4066,41,1249,8425,8425,1453,0,,347,1222926,0,,,,,219,245847,160683,1948,0,,,,,,198888,,0,1468773,1948,66266,522512,,,,0,1381192,0
"2021-01-14","MT",1077,,8,,3917,3917,192,14,,36,,0,,,,,21,88110,,457,0,,,,,,82190,,0,862427,7358,,,,,,0,862427,7358
"2021-01-14","NC",7825,7230,80,595,,,3990,0,,858,,0,,,,,,650926,589265,9853,0,,,,,,,,0,7426166,68243,,398903,,,,0,7426166,68243
"2021-01-14","ND",1372,,8,,3689,3689,78,6,539,10,290753,869,,,,,,95378,91651,243,0,,,,,,92249,1294101,6580,1294101,6580,,66154,,,386131,1112,1369503,7508
"2021-01-14","NE",1803,,12,,5520,5520,449,23,,,699608,3169,,,1680017,,,179199,,1529,0,,,,,205069,123234,,0,1887154,12447,,,,,879242,4699,1887154,12447
"2021-01-14","NH",897,,12,,944,944,270,2,310,,514823,3098,,,,,,54778,39866,653,0,,,,,,47153,,0,1122237,10190,36785,96283,35379,,554689,3592,1122237,10190
"2021-01-14","NJ",20253,18162,92,2091,54004,54004,3638,190,,644,7924516,49859,,,,,456,609721,549840,7092,0,,,,,,,,0,8534237,56951,,,,,,0,8474356,62584
"2021-01-14","NM",2836,,29,,10947,10947,691,75,,,,0,,,,,,160543,,1424,0,,,,,,82809,,0,2140562,15572,,,,,,0,2140562,15572
"2021-01-14","NV",3658,,62,,,,1746,0,,410,1005419,4238,,,,,288,256172,256172,2187,0,,,,,,,2289156,20465,2289156,20465,,,,,1261591,6425,,0
"2021-01-14","NY",32379,,204,,,,8823,0,,1536,,0,,,,,956,1183608,,13661,0,,,,,,,28131034,212589,28131034,212589,,,,,,0,,0
"2021-01-14","OH",9990,8974,109,1016,42491,42491,3789,340,6289,952,,0,,,,,618,807293,714168,7654,0,,57832,,,738897,663856,,0,8304981,54001,,1036519,,,,0,8304981,54001
"2021-01-14","OK",2882,,34,,19460,19460,1844,261,,474,2563861,15835,,,2563861,,,344506,,3142,0,9516,,,,327292,303476,,0,2908367,18977,109422,,,,,0,2898461,17359
"2021-01-14","OR",1708,,41,,7123,7123,470,71,,113,,0,,,2701828,,53,129109,,1329,0,,,,,172744,,,0,2874572,17886,,,,,,0,2874572,17886
"2021-01-14","PA",18742,,313,,,,4980,0,,1013,3427975,11603,,,,,626,748564,661700,7175,0,,,,,,568908,8307622,52579,8307622,52579,,,,,4089675,17172,,0
"2021-01-14","PR",1679,1397,20,282,,,407,0,,52,305972,0,,,395291,,61,84816,79114,177,0,60303,,,,20103,73760,,0,390788,177,,,,,,0,415664,0
"2021-01-14","RI",1996,,9,,7366,7366,375,56,,53,585190,3467,,,2096250,,34,103386,,901,0,,,,,123555,,2219805,20175,2219805,20175,,,,,688576,4368,,0
"2021-01-14","SC",5934,5420,23,514,15940,15940,2427,92,,465,3204940,34882,93277,,3110135,,290,371180,337845,5802,0,18522,66213,,,432650,170072,,0,3576120,40684,111799,512362,,,,0,3542785,39737
"2021-01-14","SD",1614,,10,,5998,5998,247,20,,56,283660,556,,,,,31,104512,93814,317,0,,,,,99353,98170,,0,622598,2278,,,,,388172,873,622598,2278
"2021-01-14","TN",8232,6909,84,1323,15753,15753,3150,98,,781,,0,,,5274954,,436,670482,576406,4983,0,,102283,,,664501,596883,,0,5939455,24216,,756813,,,,0,5939455,24216
"2021-01-14","TX",31050,,426,,,,14052,0,,3662,,0,,,,,,2045699,1794545,23064,0,104726,130380,,,2013598,1630778,,0,15304459,125371,853435,1427906,,,,0,15304459,125371
"2021-01-14","UT",1460,,11,,12249,12249,614,89,1957,194,1366779,5274,,,2121421,675,,317559,,2742,0,,42040,,40351,300381,260728,,0,2421802,14810,,559136,,227903,1643713,7072,2421802,14810
"2021-01-14","VA",5626,4952,74,674,19595,19595,3196,125,,583,,0,,,,,366,417839,343304,5294,0,19240,78154,,,429112,,4706714,32084,4706714,32084,196019,822044,,,,0,,0
"2021-01-14","VI",24,,0,,,,,0,,,35759,0,,,,,,2166,,0,0,,,,,,2008,,0,37925,0,,,,,38019,0,,0
"2021-01-14","VT",162,,4,,,,45,0,,8,273192,1282,,,,,,9573,9325,205,0,,,,,,6403,,0,779178,8160,,,,,282517,1485,779178,8160
"2021-01-14","WA",3838,,49,,16080,16080,1083,12,,215,,0,,,,,93,281202,269201,2658,0,,,,,,,4128417,17770,4128417,17770,,,,,,0,,0
"2021-01-14","WI",5728,5290,49,438,22804,22804,1025,99,2115,224,2421860,6987,,,,,,561160,515982,3140,0,,,,,,482669,5716124,41690,5716124,41690,,,,,2937842,9699,,0
"2021-01-14","WV",1702,1464,31,238,,,736,0,,187,,0,,,,,97,105219,84569,827,0,,,,,,76272,,0,1688103,14906,27515,,,,,0,1688103,14906
"2021-01-14","WY",522,,0,,1207,1207,89,10,,,162628,220,,,501049,,,48701,41628,412,0,,,,,41241,46127,,0,542316,4637,,,,,204256,565,542316,4637
"2021-01-13","AK",226,,2,,1138,1138,68,34,,,,0,,,1310360,,8,49203,,406,0,,,,,58985,,,0,1370835,13127,,,,,,0,1370835,13127
"2021-01-13","AL",5760,4862,187,898,38229,38229,2975,642,2466,,1662596,6653,,,,1410,,410995,327128,3147,0,,,,,,211684,,0,1989724,8705,,,94370,,1989724,8705,,0
"2021-01-13","AR",4186,3470,65,716,12414,12414,1362,101,,432,2006960,9097,,,2006960,1315,255,262020,212464,2467,0,,,,58485,,232709,,0,2219424,10688,,,,299123,,0,2219424,10688
"2021-01-13","AS",0,,0,,,,,0,,,2140,0,,,,,,0,0,0,0,,,,,,,,0,2140,0,,,,,,0,2140,0
"2021-01-13","AZ",10673,9620,191,1053,44863,44863,5055,474,,1158,2524887,10993,,,,,805,641729,606848,5629,0,,,,,,,,0,5788321,45878,509039,,401017,,3131735,15991,5788321,45878
"2021-01-13","CA",31102,,589,,,,22550,0,,4929,,0,,,,,,2781039,2781039,33751,0,,,,,,,,0,36842651,334267,,,,,,0,36842651,334267
"2021-01-13","CO",5285,4596,43,689,20432,20432,886,152,,,1912227,7235,268778,,,,,366774,350145,2438,0,36230,,,,,,4856955,35319,4856955,35319,307723,,,,2262372,9350,,0
"2021-01-13","CT",6536,5305,87,1231,,,1148,0,,,,0,,,4718071,,,220576,207740,3529,0,,11642,,,256632,,,0,4981615,45116,,181632,,,,0,4981615,45116
"2021-01-13","DC",831,,6,,,,293,0,,59,,0,,,,,20,32600,,177,0,,,,,,22673,973570,3522,973570,3522,,,,,374073,740,,0
"2021-01-13","DE",994,889,3,105,,,474,0,,55,476180,2893,,,,,,67173,64194,727,0,,,,,68972,,1081445,7745,1081445,7745,,,,,543353,3620,,0
"2021-01-13","FL",23759,,174,,67598,67598,7584,440,,,7850188,39033,578113,560932,13360126,,,1490148,1249346,13664,0,71851,,69600,,1938562,,17148040,116070,17148040,116070,650372,,630838,,9340336,52697,15367290,105916
"2021-01-13","GA",11803,10580,141,1223,45533,45533,6108,356,7837,,,0,,,,,,782288,654356,8596,0,50661,,,,618324,,,0,5763974,26112,417679,,,,,0,5763974,26112
"2021-01-13","GU",124,,0,,,,7,0,,3,92375,295,,,,,3,7444,7250,21,0,19,253,,,,7208,,0,99819,316,337,7013,,,,0,99625,306
"2021-01-13","HI",312,312,3,,1913,1913,114,11,,26,,0,,,,,22,24259,23733,106,0,,,,,23384,,882893,4819,882893,4819,,,,,,0,,0
"2021-01-13","IA",4232,,10,,,,516,0,,79,951915,2310,,79933,2045503,,30,253307,253307,1441,0,,50025,10446,47012,274250,260557,,0,1205222,3751,,972075,90419,198901,1207498,3753,2331547,12289
"2021-01-13","ID",1556,1373,12,183,6128,6128,283,49,1076,72,441977,779,,,,,,151273,124248,1034,0,,,,,,67633,,0,566225,1510,,78973,,,566225,1510,903361,3474
"2021-01-13","IL",19617,17840,120,1777,,,3642,0,,749,,0,,,,,386,1046030,,5862,0,,,,,,,,0,14339584,76107,,,,,,0,14339584,76107
"2021-01-13","IN",9163,8790,59,373,37679,37679,2484,174,6583,550,2205872,6192,,,,,284,574119,,3642,0,,,,,652054,,,0,6220087,44959,,,,,2779991,9834,6220087,44959
"2021-01-13","KS",3355,,100,,7540,7540,892,189,2027,217,831891,12877,,,,413,65,252041,,4539,0,,,,,,,,0,1083932,17416,,,,,1083932,17416,,0
"2021-01-13","KY",2991,2767,47,224,14892,14892,1702,154,3278,403,,0,,,,,225,313282,249686,4553,0,7527,22727,,,205437,39723,,0,3366855,23494,104207,221181,,,,0,3366855,23494
"2021-01-13","LA",8022,7582,51,440,,,2029,0,,,4172023,16174,,,,,235,355835,317336,2896,0,,,,,,298614,,0,4527858,19070,,267725,,,,0,4489359,17928
"2021-01-13","MA",13359,13082,86,277,17109,17109,2200,506,,461,3837617,15517,,,,,286,448447,427752,5918,0,,,13123,,513918,293522,,0,11944985,100276,,,141687,411710,4265369,20795,11944985,100276
"2021-01-13","MD",6404,6233,37,171,28986,28986,1929,126,,454,2667562,8820,,158859,,,,314867,314867,2516,0,,,20915,,382784,9439,,0,6254353,34334,,,179774,,2982429,11336,6254353,34334
"2021-01-13","ME",453,447,4,6,1201,1201,207,12,,64,,0,13301,,,,23,31150,25708,824,0,614,5782,,,30090,11809,,0,1185886,10637,13927,109410,,,,0,1185886,10637
"2021-01-13","MI",14336,13533,40,803,,,2246,0,,501,,0,,,8092393,,255,573278,528306,3128,0,,,,,667624,415079,,0,8760017,41461,457314,,,,,0,8760017,41461
"2021-01-13","MN",5774,5567,50,207,23018,23018,665,87,4822,129,2681279,6151,,,,,,440354,423229,1487,0,,,,,,419139,5733978,18984,5733978,18984,,272733,,,3104508,7434,,0
"2021-01-13","MO",6171,,16,,,,2545,0,,602,1701829,3807,105952,,3376838,,327,429177,429177,2060,0,15943,56007,,,474343,,,0,3859023,14785,122113,469612,112815,209438,2131006,5867,3859023,14785
"2021-01-13","MP",2,2,0,,4,4,,0,,,17429,0,,,,,,128,128,0,0,,,,,,29,,0,17557,0,,,,,17542,0,26131,0
"2021-01-13","MS",5315,4066,31,1249,8425,8425,1446,0,,360,1222926,0,,,,,228,243899,159985,1942,0,,,,,,198888,,0,1466825,1942,66266,522512,,,,0,1381192,0
"2021-01-13","MT",1069,,2,,3903,3903,199,20,,36,,0,,,,,21,87653,,576,0,,,,,,81676,,0,855069,3475,,,,,,0,855069,3475
"2021-01-13","NC",7745,7167,107,578,,,3951,0,,848,,0,,,,,,641073,581331,5098,0,,,,,,,,0,7357923,41106,,388038,,,,0,7357923,41106
"2021-01-13","ND",1364,,1,,3683,3683,72,16,539,10,289884,573,,,,,,95135,91463,167,0,,,,,,92029,1287521,4722,1287521,4722,,63434,,,385019,740,1361995,5373
"2021-01-13","NE",1791,,19,,5497,5497,457,22,,,696439,1271,,,1668291,,,177670,,1000,0,,,,,204358,120700,,0,1874707,13341,,,,,874543,2273,1874707,13341
"2021-01-13","NH",885,,7,,942,942,275,5,310,,511725,2025,,,,,,54125,39372,977,0,,,,,,46633,,0,1112047,7445,36708,93980,35313,,551097,2606,1112047,7445
"2021-01-13","NJ",20161,18070,122,2091,53814,53814,3726,237,,648,7874657,0,,,,,452,602629,543974,7880,0,,,,,,,,0,8477286,7880,,,,,,0,8411772,0
"2021-01-13","NM",2807,,13,,10872,10872,702,57,,,,0,,,,,,159119,,1145,0,,,,,,81603,,0,2124990,11205,,,,,,0,2124990,11205
"2021-01-13","NV",3596,,50,,,,1784,0,,411,1001181,3693,,,,,280,253985,253985,1143,0,,,,,,,2268691,13943,2268691,13943,,,,,1255166,4836,,0
"2021-01-13","NY",32175,,168,,,,8929,0,,1501,,0,,,,,924,1169947,,14577,0,,,,,,,27918445,196868,27918445,196868,,,,,,0,,0
"2021-01-13","OH",9881,8874,79,1007,42151,42151,3923,288,6252,959,,0,,,,,636,799639,707885,6701,0,,56635,,,733473,656433,,0,8250980,25345,,1017161,,,,0,8250980,25345
"2021-01-13","OK",2848,,44,,19199,19199,1856,247,,477,2548026,21403,,,2548026,,,341364,,3907,0,9516,,,,325935,299375,,0,2889390,25310,109422,,,,,0,2881102,24554
"2021-01-13","OR",1667,,54,,7052,7052,447,60,,103,,0,,,2685110,,50,127780,,1173,0,,,,,171576,,,0,2856686,16847,,,,,,0,2856686,16847
"2021-01-13","PA",18429,,349,,,,5069,0,,1035,3416372,13212,,,,,645,741389,656131,7960,0,,,,,,556041,8255043,56546,8255043,56546,,,,,4072503,19227,,0
"2021-01-13","PR",1659,1379,14,280,,,388,0,,61,305972,0,,,395291,,73,84639,79006,212,0,60142,,,,20103,73760,,0,390611,212,,,,,,0,415664,0
"2021-01-13","RI",1987,,17,,7310,7310,402,69,,49,581723,3226,,,2077108,,35,102485,,1092,0,,,,,122522,,2199630,19809,2199630,19809,,,,,684208,4318,,0
"2021-01-13","SC",5911,5402,51,509,15848,15848,2466,142,,475,3170058,31227,92790,,3076502,,277,365378,332990,6021,0,18269,64368,,,426546,168440,,0,3535436,37248,111059,503983,,,,0,3503048,36189
"2021-01-13","SD",1604,,19,,5978,5978,253,35,,62,283104,1465,,,,,33,104195,93580,452,0,,,,,99111,97829,,0,620320,2344,,,,,387299,1917,620320,2344
"2021-01-13","TN",8148,6856,137,1292,15655,15655,3193,145,,783,,0,,,5254875,,445,665499,572619,4625,0,,100966,,,660364,588974,,0,5915239,20426,,746789,,,,0,5915239,20426
"2021-01-13","TX",30624,,405,,,,14106,0,,3662,,0,,,,,,2022635,1775619,27343,0,104043,127818,,,1991275,1612188,,0,15179088,147557,850565,1404149,,,,0,15179088,147557
"2021-01-13","UT",1449,,27,,12160,12160,612,101,1945,194,1361505,4704,,,2108668,673,,314817,,5188,0,,41058,,39404,298324,257824,,0,2406992,12444,,538572,,218744,1636641,6362,2406992,12444
"2021-01-13","VA",5552,4892,75,660,19470,19470,3209,144,,587,,0,,,,,362,412545,339468,4598,0,19128,76731,,,424808,,4674630,33663,4674630,33663,195642,808831,,,,0,,0
"2021-01-13","VI",24,,0,,,,,0,,,35759,0,,,,,,2166,,0,0,,,,,,2008,,0,37925,0,,,,,38019,0,,0
"2021-01-13","VT",158,,0,,,,51,0,,8,271910,746,,,,,,9368,9122,121,0,,,,,,6321,,0,771018,3693,,,,,281032,859,771018,3693
"2021-01-13","WA",3789,,90,,16068,16068,1076,90,,216,,0,,,,,111,278544,266701,1858,0,,,,,,,4110647,23116,4110647,23116,,,,,,0,,0
"2021-01-13","WI",5679,5248,46,431,22705,22705,988,122,2113,225,2414873,5293,,,,,,558020,513270,2771,0,,,,,,480112,5674434,29499,5674434,29499,,,,,2928143,7427,,0
"2021-01-13","WV",1671,1441,37,230,,,765,0,,204,,0,,,,,101,104392,83885,1189,0,,,,,,74739,,0,1673197,11333,27404,,,,,0,1673197,11333
"2021-01-13","WY",522,,0,,1197,1197,82,5,,,162408,221,,,496617,,,48289,41283,217,0,,,,,41036,45904,,0,537679,1609,,,,,203691,388,537679,1609
"2021-01-12","AK",224,,0,,1104,1104,79,0,,,,0,,,1297818,,9,48797,,0,0,,,,,58423,,,0,1357708,0,,,,,,0,1357708,0
"2021-01-12","AL",5573,4732,226,841,37587,37587,3076,0,2462,,1655943,6125,,,,1409,,407848,325076,3848,0,,,,,,211684,,0,1981019,8156,,,93710,,1981019,8156,,0
"2021-01-12","AR",4121,3424,40,697,12313,12313,1354,198,,452,1997863,4150,,,1997863,1306,251,259553,210873,3209,0,,,,57537,,229700,,0,2208736,6245,,,,294790,,0,2208736,6245
"2021-01-12","AS",0,,0,,,,,0,,,2140,0,,,,,,0,0,0,0,,,,,,,,0,2140,0,,,,,,0,2140,0
"2021-01-12","AZ",10482,9438,335,1044,44389,44389,5082,753,,1183,2513894,10178,,,,,786,636100,601850,8559,0,,,,,,,,0,5742443,45750,507483,,399611,,3115744,18335,5742443,45750
"2021-01-12","CA",30513,,548,,,,22665,0,,4962,,0,,,,,,2747288,2747288,36487,0,,,,,,,,0,36508384,337856,,,,,,0,36508384,337856
"2021-01-12","CO",5242,4558,29,684,20280,20280,930,265,,,1904992,4291,266762,,,,,364336,348030,1511,0,35596,,,,,,4821636,23473,4821636,23473,305008,,,,2253022,5567,,0
"2021-01-12","CT",6449,5236,33,1213,,,1154,0,,,,0,,,4675758,,,217047,204505,3689,0,,11299,,,253845,,,0,4936499,50607,,175036,,,,0,4936499,50607
"2021-01-12","DC",825,,4,,,,283,0,,69,,0,,,,,34,32423,,430,0,,,,,,22464,970048,9132,970048,9132,,,,,373333,2239,,0
"2021-01-12","DE",991,886,5,105,,,473,0,,55,473287,1133,,,,,,66446,63532,619,0,,,,,68284,,1073700,9900,1073700,9900,,,,,539733,1752,,0
"2021-01-12","FL",23585,,161,,67158,67158,7720,420,,,7811155,40252,578113,560932,13272560,,,1476484,1239950,14526,0,71851,,69600,,1920618,,17031970,117059,17031970,117059,650372,,630838,,9287639,54778,15261374,113009
"2021-01-12","GA",11662,10444,187,1218,45177,45177,6097,435,7799,,,0,,,,,,773692,648694,9193,0,50103,,,,613704,,,0,5737862,29802,416089,,,,,0,5737862,29802
"2021-01-12","GU",124,,0,,,,9,0,,4,92080,343,,,,,4,7423,7239,0,0,19,253,,,,7189,,0,99503,343,337,6813,,,,0,99319,348
"2021-01-12","HI",309,309,0,,1902,1902,124,7,,26,,0,,,,,22,24153,23627,114,0,,,,,23283,,878074,3054,878074,3054,,,,,,0,,0
"2021-01-12","IA",4222,,83,,,,552,0,,90,949605,1075,,79806,2034801,,30,251866,251866,637,0,,49499,10320,46529,272707,258758,,0,1201471,1712,,960489,90166,197154,1203745,1707,2319258,7172
